user_id,cohort_recharge_date,propensity_score,score_decile
100520,2026-01-27,0.9868538002782782,1
100891,2026-01-27,0.9868028587212733,1
100487,2026-01-27,0.9867081297131984,1
100224,2026-01-27,0.9863293711216301,1
100119,2026-01-27,0.9862882665474827,1
100704,2026-01-27,0.986203370248274,1
101108,2026-01-27,0.9860731770068797,1
100110,2026-01-27,0.9860218471813483,1
100621,2026-01-27,0.9858620569475814,1
100822,2026-01-27,0.9856483375360261,1
101405,2026-01-27,0.9854084461730896,1
101422,2026-01-27,0.9853422831707987,1
100002,2026-01-27,0.9852090418381908,1
100755,2026-01-27,0.9850814539516641,1
101135,2026-01-27,0.9846200703469052,1
100600,2026-01-27,0.9845553752776147,1
100973,2026-01-27,0.984359358276128,1
100966,2026-01-27,0.9842911960328677,1
101051,2026-01-27,0.9842087899963302,1
101244,2026-01-27,0.9838108677934156,1
100772,2026-01-27,0.983417886079592,1
101152,2026-01-27,0.9832967616837632,1
100538,2026-01-27,0.982239290907278,1
101095,2026-01-27,0.9816389786774317,1
100179,2026-01-27,0.9814334266835604,1
100826,2026-01-27,0.9814051689790751,1
100397,2026-01-27,0.9803971432808889,1
100635,2026-01-27,0.9798069505842911,1
100632,2026-01-27,0.9796978678084804,1
100284,2026-01-27,0.9796971788456557,1
100740,2026-01-27,0.9796495517394213,1
101103,2026-01-27,0.9795732257466448,1
100528,2026-01-27,0.9793624041588609,1
100160,2026-01-27,0.9791682531247753,1
101210,2026-01-27,0.9791656026587723,1
100449,2026-01-27,0.9790936838115479,1
101485,2026-01-27,0.9787823868678871,1
100510,2026-01-27,0.9781997534217661,1
100154,2026-01-27,0.9779403420608442,1
100485,2026-01-27,0.9779012747522908,1
101464,2026-01-27,0.9778722325205447,1
100334,2026-01-27,0.9769971944306447,1
100297,2026-01-27,0.9768684307658094,1
100618,2026-01-27,0.9768401428156558,1
100324,2026-01-27,0.9767404349307333,1
101037,2026-01-27,0.9765097618421941,1
100803,2026-01-27,0.9765008814493984,1
100897,2026-01-27,0.9763157026292146,1
100782,2026-01-27,0.975560073964733,1
100124,2026-01-27,0.9752922378035707,1
101042,2026-01-27,0.9751449963223977,1
101143,2026-01-27,0.9750394376654767,1
100662,2026-01-27,0.9744152286464347,1
100041,2026-01-27,0.9740058026523921,1
100019,2026-01-27,0.972637299711797,1
100453,2026-01-27,0.9725385549594092,1
100590,2026-01-27,0.9721434028672561,1
100724,2026-01-27,0.9720074757568726,1
100754,2026-01-27,0.9714754576360068,1
100433,2026-01-27,0.9712040100149579,1
101046,2026-01-27,0.9707664273649513,1
100551,2026-01-27,0.9704060875483692,1
100351,2026-01-27,0.9703408321831,1
100301,2026-01-27,0.9700242257448862,1
101414,2026-01-27,0.9696807285674688,1
101466,2026-01-27,0.9692372514610451,1
100675,2026-01-27,0.9691714387696749,1
100277,2026-01-27,0.969008447290397,1
100412,2026-01-27,0.9682004506336895,1
100934,2026-01-27,0.9675826211097333,1
100867,2026-01-27,0.9675334110271517,1
100484,2026-01-27,0.9674209664520288,1
101034,2026-01-27,0.9669087377746922,1
101198,2026-01-27,0.9661508399399722,1
100853,2026-01-27,0.9657918857128215,1
